status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_group
<0 DM,6,critical/other,radio/TV,1169,A65,>=7 years,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,1,66+
0-200 DM,48,existing paid,radio/TV,5951,A61,1-4 years,2,A92,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,0,18-25
no account,12,critical/other,education,2096,A61,4-7 years,2,A93,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,1,46-55
<0 DM,42,existing paid,furniture/equipment,7882,A61,4-7 years,2,A93,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,1,36-45
<0 DM,24,delay paid,car (new),4870,A61,1-4 years,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,0,46-55
no account,36,existing paid,education,9055,A65,1-4 years,2,A93,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,1,26-35
no account,24,existing paid,furniture/equipment,2835,A63,>=7 years,3,A93,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,1,46-55
0-200 DM,36,existing paid,car (used),6948,A61,1-4 years,2,A93,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,1,26-35
no account,12,existing paid,radio/TV,3059,A64,4-7 years,2,A91,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,1,56-65
0-200 DM,30,critical/other,car (new),5234,A61,unemployed,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,0,26-35
0-200 DM,12,existing paid,car (new),1295,A61,<1 year,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,0,18-25
<0 DM,48,existing paid,business,4308,A61,<1 year,3,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,0,18-25
0-200 DM,12,existing paid,radio/TV,1567,A61,1-4 years,1,A92,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,1,18-25
<0 DM,24,critical/other,car (new),1199,A61,>=7 years,4,A93,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,0,56-65
<0 DM,15,existing paid,car (new),1403,A61,1-4 years,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,1,26-35
<0 DM,24,existing paid,radio/TV,1282,A62,1-4 years,4,A92,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,0,26-35
no account,24,critical/other,radio/TV,2424,A65,>=7 years,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,1,46-55
<0 DM,30,no credits/all paid,business,8072,A65,<1 year,2,A93,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,1,18-25
0-200 DM,24,existing paid,car (used),12579,A61,>=7 years,4,A92,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,0,36-45
no account,24,existing paid,radio/TV,3430,A63,>=7 years,3,A93,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,1,26-35
no account,9,critical/other,car (new),2134,A61,1-4 years,4,A93,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,1,46-55
<0 DM,6,existing paid,radio/TV,2647,A63,1-4 years,2,A93,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,1,36-45
