status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_group,amount_group
کمتر از ۰ مارک,6,وضعیت بحرانی/سایر,رادیو/تلویزیون,1169,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A121,67,A143,A152,2,کارگر ماهر,1,A192,A201,1,75+,2000-1000
۰-۲۰۰ مارک,48,وام های موجود پرداخت شده,رادیو/تلویزیون,5951,A61,۱-۴ سال,2,زن مطلقه/جدا شده/متاهل,A101,2,A121,22,A143,A152,1,کارگر ماهر,1,A191,A201,0,25-18,10000-5000
بدون حساب جاری,12,وضعیت بحرانی/سایر,آموزش,2096,A61,۴-۷ سال,2,مرد مجرد,A101,3,A121,49,A143,A152,1,کارگر ساده,2,A191,A201,1,55-46,5000-2000
کمتر از ۰ مارک,42,وام های موجود پرداخت شده,لوازم خانگی,7882,A61,۴-۷ سال,2,مرد مجرد,A103,4,A122,45,A143,A153,1,کارگر ماهر,2,A191,A201,1,45-36,10000-5000
کمتر از ۰ مارک,24,تاخیر پرداخت شده,خودرو (نو),4870,A61,۱-۴ سال,3,مرد مجرد,A101,4,A124,53,A143,A153,2,کارگر ماهر,2,A191,A201,0,55-46,5000-2000
بدون حساب جاری,36,وام های موجود پرداخت شده,آموزش,9055,A65,۱-۴ سال,2,مرد مجرد,A101,4,A124,35,A143,A153,1,کارگر ساده,2,A192,A201,1,35-26,10000-5000
بدون حساب جاری,24,وام های موجود پرداخت شده,لوازم خانگی,2835,A63,بیشتر از ۷ سال,3,مرد مجرد,A101,4,A122,53,A143,A152,1,کارگر ماهر,1,A191,A201,1,55-46,5000-2000
۰-۲۰۰ مارک,36,وام های موجود پرداخت شده,خودرو (کارکرده),6948,A61,۱-۴ سال,2,مرد مجرد,A101,2,A123,35,A143,A151,1,مدیر/خویش فرما,1,A192,A201,1,35-26,10000-5000
بدون حساب جاری,12,وام های موجود پرداخت شده,رادیو/تلویزیون,3059,A64,۴-۷ سال,2,مرد مطلقه/جدا شده,A101,4,A121,61,A143,A152,1,کارگر ساده,1,A191,A201,1,65-56,5000-2000
۰-۲۰۰ مارک,30,وضعیت بحرانی/سایر,خودرو (نو),5234,A61,بیکار,4,مرد متاهل/بیوه,A101,2,A123,28,A143,A152,2,مدیر/خویش فرما,1,A191,A201,0,35-26,10000-5000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,خودرو (نو),1295,A61,کمتر از ۱ سال,3,زن مطلقه/جدا شده/متاهل,A101,1,A123,25,A143,A151,1,کارگر ماهر,1,A191,A201,0,25-18,2000-1000
کمتر از ۰ مارک,48,وام های موجود پرداخت شده,کسب و کار,4308,A61,کمتر از ۱ سال,3,زن مطلقه/جدا شده/متاهل,A101,4,A122,24,A143,A151,1,کارگر ماهر,1,A191,A201,0,25-18,5000-2000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,رادیو/تلویزیون,1567,A61,۱-۴ سال,1,زن مطلقه/جدا شده/متاهل,A101,1,A123,22,A143,A152,1,کارگر ماهر,1,A192,A201,1,25-18,2000-1000
کمتر از ۰ مارک,24,وضعیت بحرانی/سایر,خودرو (نو),1199,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A123,60,A143,A152,2,کارگر ساده,1,A191,A201,0,65-56,2000-1000
کمتر از ۰ مارک,15,وام های موجود پرداخت شده,خودرو (نو),1403,A61,۱-۴ سال,2,زن مطلقه/جدا شده/متاهل,A101,4,A123,28,A143,A151,1,کارگر ماهر,1,A191,A201,1,35-26,2000-1000
کمتر از ۰ مارک,24,وام های موجود پرداخت شده,رادیو/تلویزیون,1282,A62,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A123,32,A143,A152,1,کارگر ساده,1,A191,A201,0,35-26,2000-1000
بدون حساب جاری,24,وضعیت بحرانی/سایر,رادیو/تلویزیون,2424,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A122,53,A143,A152,2,کارگر ماهر,1,A191,A201,1,55-46,5000-2000
کمتر از ۰ مارک,30,بدون وام/همه پرداخت شده,کسب و کار,8072,A65,کمتر از ۱ سال,2,مرد مجرد,A101,3,A123,25,A141,A152,3,کارگر ماهر,1,A191,A201,1,25-18,10000-5000
۰-۲۰۰ مارک,24,وام های موجود پرداخت شده,خودرو (کارکرده),12579,A61,بیشتر از ۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A124,44,A143,A153,1,مدیر/خویش فرما,1,A192,A201,0,45-36,بیشتر از 10000
بدون حساب جاری,24,وام های موجود پرداخت شده,رادیو/تلویزیون,3430,A63,بیشتر از ۷ سال,3,مرد مجرد,A101,2,A123,31,A143,A152,1,کارگر ماهر,2,A192,A201,1,35-26,5000-2000
بدون حساب جاری,9,وضعیت بحرانی/سایر,خودرو (نو),2134,A61,۱-۴ سال,4,مرد مجرد,A101,4,A123,48,A143,A152,3,کارگر ماهر,1,A192,A201,1,55-46,5000-2000
کمتر از ۰ مارک,6,وام های موجود پرداخت شده,رادیو/تلویزیون,2647,A63,۱-۴ سال,2,مرد مجرد,A101,3,A121,44,A143,A151,1,کارگر ماهر,2,A191,A201,1,45-36,5000-2000
کمتر از ۰ مارک,10,وضعیت بحرانی/سایر,خودرو (نو),2241,A61,کمتر از ۱ سال,1,مرد مجرد,A101,3,A121,48,A143,A151,2,کارگر ساده,2,A191,A202,1,55-46,5000-2000
۰-۲۰۰ مارک,12,وضعیت بحرانی/سایر,خودرو (کارکرده),1804,A62,کمتر از ۱ سال,3,مرد مجرد,A101,4,A122,44,A143,A152,1,کارگر ماهر,1,A191,A201,1,45-36,2000-1000
بدون حساب جاری,10,وضعیت بحرانی/سایر,لوازم خانگی,2069,A65,۱-۴ سال,2,مرد متاهل/بیوه,A101,1,A123,26,A143,A152,2,کارگر ماهر,1,A191,A202,1,35-26,5000-2000
کمتر از ۰ مارک,6,وام های موجود پرداخت شده,لوازم خانگی,1374,A61,۱-۴ سال,1,مرد مجرد,A101,2,A121,36,A141,A152,1,کارگر ساده,1,A192,A201,1,45-36,2000-1000
